id,year,area[m2],g_value[1],orientation[degree],tilt[degree],shading[1]
151187,1958,8.7923437056,0.75,270.0,90.0,0.75
151187,1969,7.76002835088,0.75,0.0,90.0,0.75
151187,1969,7.76002835088,0.75,90.0,90.0,0.75
151187,1969,7.76002835088,0.75,180.0,90.0,0.75
151187,1969,7.76002835088,0.75,270.0,90.0,0.75
151187,1979,4.9064418000000005,0.75,0.0,90.0,0.75
151187,1979,4.9064418000000005,0.75,90.0,90.0,0.75
151187,1979,4.9064418000000005,0.75,180.0,90.0,0.75
151187,1979,4.9064418000000005,0.75,270.0,90.0,0.75
151187,1984,7.771803811200002,0.75,0.0,90.0,0.75
151187,1984,7.771803811200002,0.75,90.0,90.0,0.75
151187,1984,7.771803811200002,0.75,180.0,90.0,0.75
151187,1984,7.771803811200002,0.75,270.0,90.0,0.75
151187,1995,10.440908150400002,0.6,0.0,90.0,0.6
151187,1995,10.440908150400002,0.6,90.0,90.0,0.6
151187,1995,10.440908150400002,0.6,180.0,90.0,0.6
151187,1995,10.440908150400002,0.6,270.0,90.0,0.6
151187,2002,7.555920372000001,0.6,0.0,90.0,0.6
151187,2002,7.555920372000001,0.6,90.0,90.0,0.6
151187,2002,7.555920372000001,0.6,180.0,90.0,0.6
151187,2002,7.555920372000001,0.6,270.0,90.0,0.6
151187,2009,7.555920372000001,0.6,0.0,90.0,0.6
151187,2009,7.555920372000001,0.6,90.0,90.0,0.6
151187,2009,7.555920372000001,0.6,180.0,90.0,0.6
151187,2009,7.555920372000001,0.6,270.0,90.0,0.6
154218,1918,7.934662840320001,0.75,0.0,90.0,0.75
154218,1918,7.934662840320001,0.75,90.0,90.0,0.75
154218,1918,7.934662840320001,0.75,180.0,90.0,0.75
154218,1918,7.934662840320001,0.75,270.0,90.0,0.75
154218,1919,8.74329090048,0.75,0.0,90.0,0.75
154218,1919,8.74329090048,0.75,90.0,90.0,0.75
154218,1919,8.74329090048,0.75,180.0,90.0,0.75
154218,1919,8.74329090048,0.75,270.0,90.0,0.75
154218,1949,8.38951612416,0.75,0.0,90.0,0.75
154218,1949,8.38951612416,0.75,90.0,90.0,0.75
154218,1949,8.38951612416,0.75,180.0,90.0,0.75
154218,1949,8.38951612416,0.75,270.0,90.0,0.75
154218,1958,11.320792842240001,0.75,0.0,90.0,0.75
154218,1958,11.320792842240001,0.75,90.0,90.0,0.75
154218,1958,11.320792842240001,0.75,180.0,90.0,0.75
154218,1958,11.320792842240001,0.75,270.0,90.0,0.75
154218,1969,9.991610468352,0.75,0.0,90.0,0.75
154218,1969,9.991610468352,0.75,90.0,90.0,0.75
154218,1969,9.991610468352,0.75,180.0,90.0,0.75
154218,1969,9.991610468352,0.75,270.0,90.0,0.75
154218,1979,6.31740672,0.75,0.0,90.0,0.75
154218,1979,6.31740672,0.75,90.0,90.0,0.75
154218,1979,6.31740672,0.75,180.0,90.0,0.75
154218,1979,6.31740672,0.75,270.0,90.0,0.75
154218,1984,10.00677224448,0.75,0.0,90.0,0.75
154218,1984,10.00677224448,0.75,90.0,90.0,0.75
154218,1984,10.00677224448,0.75,180.0,90.0,0.75
154218,1984,10.00677224448,0.75,270.0,90.0,0.75
154218,1995,13.44344150016,0.6,0.0,90.0,0.6
154218,1995,13.44344150016,0.6,90.0,90.0,0.6
154218,1995,13.44344150016,0.6,180.0,90.0,0.6
154218,1995,13.44344150016,0.6,270.0,90.0,0.6
154218,2002,9.728806348800001,0.6,0.0,90.0,0.6
154218,2002,9.728806348800001,0.6,90.0,90.0,0.6
154218,2002,9.728806348800001,0.6,180.0,90.0,0.6
154218,2002,9.728806348800001,0.6,270.0,90.0,0.6
154218,2009,9.728806348800001,0.6,0.0,90.0,0.6
154218,2009,9.728806348800001,0.6,90.0,90.0,0.6
154218,2009,9.728806348800001,0.6,180.0,90.0,0.6
154218,2009,9.728806348800001,0.6,270.0,90.0,0.6
173897,1918,6.162490900800001,0.75,0.0,90.0,0.75
173897,1918,6.162490900800001,0.75,90.0,90.0,0.75
173897,1918,6.162490900800001,0.75,180.0,90.0,0.75
173897,1918,6.162490900800001,0.75,270.0,90.0,0.75
173897,1919,6.7905154512,0.75,0.0,90.0,0.75
173897,1919,6.7905154512,0.75,90.0,90.0,0.75
173897,1919,6.7905154512,0.75,180.0,90.0,0.75
173897,1919,6.7905154512,0.75,270.0,90.0,0.75
173897,1949,6.515754710400001,0.75,0.0,90.0,0.75
173897,1949,6.515754710400001,0.75,90.0,90.0,0.75
173897,1949,6.515754710400001,0.75,180.0,90.0,0.75
173897,1949,6.515754710400001,0.75,270.0,90.0,0.75
173897,1958,8.7923437056,0.75,0.0,90.0,0.75
173897,1958,8.7923437056,0.75,90.0,90.0,0.75
173897,1958,8.7923437056,0.75,180.0,90.0,0.75
173897,1958,8.7923437056,0.75,270.0,90.0,0.75
173897,1969,7.76002835088,0.75,0.0,90.0,0.75
173897,1969,7.76002835088,0.75,90.0,90.0,0.75
173897,1969,7.76002835088,0.75,180.0,90.0,0.75
173897,1969,7.76002835088,0.75,270.0,90.0,0.75
173897,1979,4.9064418000000005,0.75,0.0,90.0,0.75
173897,1979,4.9064418000000005,0.75,90.0,90.0,0.75
173897,1979,4.9064418000000005,0.75,180.0,90.0,0.75
173897,1979,4.9064418000000005,0.75,270.0,90.0,0.75
173897,1984,7.771803811200002,0.75,0.0,90.0,0.75
173897,1984,7.771803811200002,0.75,90.0,90.0,0.75
173897,1984,7.771803811200002,0.75,180.0,90.0,0.75
173897,1984,7.771803811200002,0.75,270.0,90.0,0.75
173897,1995,10.440908150400002,0.6,0.0,90.0,0.6
173897,1995,10.440908150400002,0.6,90.0,90.0,0.6
173897,1995,10.440908150400002,0.6,180.0,90.0,0.6
173897,1995,10.440908150400002,0.6,270.0,90.0,0.6
173897,2002,7.555920372000001,0.6,0.0,90.0,0.6
173897,2002,7.555920372000001,0.6,90.0,90.0,0.6
173897,2002,7.555920372000001,0.6,180.0,90.0,0.6
173897,2002,7.555920372000001,0.6,270.0,90.0,0.6
173897,2009,7.555920372000001,0.6,0.0,90.0,0.6
173897,2009,7.555920372000001,0.6,90.0,90.0,0.6
173897,2009,7.555920372000001,0.6,180.0,90.0,0.6
173897,2009,7.555920372000001,0.6,270.0,90.0,0.6
175225,1918,6.162490900800001,0.75,0.0,90.0,0.75
175225,1918,6.162490900800001,0.75,90.0,90.0,0.75
175225,1918,6.162490900800001,0.75,180.0,90.0,0.75
175225,1918,6.162490900800001,0.75,270.0,90.0,0.75
175225,1919,6.7905154512,0.75,0.0,90.0,0.75
175225,1919,6.7905154512,0.75,90.0,90.0,0.75
175225,1919,6.7905154512,0.75,180.0,90.0,0.75
175225,1919,6.7905154512,0.75,270.0,90.0,0.75
175225,1949,6.515754710400001,0.75,0.0,90.0,0.75
175225,1949,6.515754710400001,0.75,90.0,90.0,0.75
175225,1949,6.515754710400001,0.75,180.0,90.0,0.75
175225,1949,6.515754710400001,0.75,270.0,90.0,0.75
175225,1958,8.7923437056,0.75,0.0,90.0,0.75
175225,1958,8.7923437056,0.75,90.0,90.0,0.75
175225,1958,8.7923437056,0.75,180.0,90.0,0.75
175225,1958,8.7923437056,0.75,270.0,90.0,0.75
175225,1969,7.76002835088,0.75,0.0,90.0,0.75
175225,1969,7.76002835088,0.75,90.0,90.0,0.75
175225,1969,7.76002835088,0.75,180.0,90.0,0.75
175225,1969,7.76002835088,0.75,270.0,90.0,0.75
175225,1979,4.9064418000000005,0.75,0.0,90.0,0.75
175225,1979,4.9064418000000005,0.75,90.0,90.0,0.75
175225,1979,4.9064418000000005,0.75,180.0,90.0,0.75
175225,1979,4.9064418000000005,0.75,270.0,90.0,0.75
175225,1984,7.771803811200002,0.75,0.0,90.0,0.75
175225,1984,7.771803811200002,0.75,90.0,90.0,0.75
175225,1984,7.771803811200002,0.75,180.0,90.0,0.75
175225,1984,7.771803811200002,0.75,270.0,90.0,0.75
175225,1995,10.440908150400002,0.6,0.0,90.0,0.6
175225,1995,10.440908150400002,0.6,90.0,90.0,0.6
175225,1995,10.440908150400002,0.6,180.0,90.0,0.6
175225,1995,10.440908150400002,0.6,270.0,90.0,0.6
175225,2002,7.555920372000001,0.6,0.0,90.0,0.6
175225,2002,7.555920372000001,0.6,90.0,90.0,0.6
175225,2002,7.555920372000001,0.6,180.0,90.0,0.6
175225,2002,7.555920372000001,0.6,270.0,90.0,0.6
175225,2009,7.555920372000001,0.6,0.0,90.0,0.6
175225,2009,7.555920372000001,0.6,90.0,90.0,0.6
175225,2009,7.555920372000001,0.6,180.0,90.0,0.6
175225,2009,7.555920372000001,0.6,270.0,90.0,0.6
178508,1918,6.162490900800001,0.75,0.0,90.0,0.75
178508,1918,6.162490900800001,0.75,90.0,90.0,0.75
178508,1918,6.162490900800001,0.75,180.0,90.0,0.75
178508,1918,6.162490900800001,0.75,270.0,90.0,0.75
178508,1919,6.7905154512,0.75,0.0,90.0,0.75
178508,1919,6.7905154512,0.75,90.0,90.0,0.75
178508,1919,6.7905154512,0.75,180.0,90.0,0.75
178508,1919,6.7905154512,0.75,270.0,90.0,0.75
178508,1949,6.515754710400001,0.75,0.0,90.0,0.75
178508,1949,6.515754710400001,0.75,90.0,90.0,0.75
178508,1949,6.515754710400001,0.75,180.0,90.0,0.75
178508,1949,6.515754710400001,0.75,270.0,90.0,0.75
178508,1958,8.7923437056,0.75,0.0,90.0,0.75
178508,1958,8.7923437056,0.75,90.0,90.0,0.75
178508,1958,8.7923437056,0.75,180.0,90.0,0.75
178508,1958,8.7923437056,0.75,270.0,90.0,0.75
178508,1969,7.76002835088,0.75,0.0,90.0,0.75
178508,1969,7.76002835088,0.75,90.0,90.0,0.75
178508,1969,7.76002835088,0.75,180.0,90.0,0.75
178508,1969,7.76002835088,0.75,270.0,90.0,0.75
178508,1979,4.9064418000000005,0.75,0.0,90.0,0.75
178508,1979,4.9064418000000005,0.75,90.0,90.0,0.75
178508,1979,4.9064418000000005,0.75,180.0,90.0,0.75
178508,1979,4.9064418000000005,0.75,270.0,90.0,0.75
178508,1984,7.771803811200002,0.75,0.0,90.0,0.75
178508,1984,7.771803811200002,0.75,90.0,90.0,0.75
178508,1984,7.771803811200002,0.75,180.0,90.0,0.75
178508,1984,7.771803811200002,0.75,270.0,90.0,0.75
178508,1995,10.440908150400002,0.6,0.0,90.0,0.6
