filename,year,inhabitants,heating:demand[kWh]_mean,heating:demand[kWh]_std,heating:load_max[kW]_mean,heating:load_max[kW]_std,cooling:demand[kWh]_mean,cooling:demand[kWh]_std,cooling:load_max[kW]_mean,cooling:load_max[kW]_std,resistance[K W-1]_mean,resistance[K W-1]_std,capacitance[J K-1]_mean,capacitance[J K-1]_std
G2800730_hot_humid.csv,1949,2,30089.35,24412.9,42.39,14.97,22141.97,6941.91,98.35,94.32,0.0,0.0,167528116.82,44641435.69
G2800730_hot_humid.csv,1949,3,51235.26,,48.94,,11992.69,,18.83,,0.0,,170306715.95,
G2800730_hot_humid.csv,1949,4,151144.17,,152.52,,7250.82,,46.72,,0.0,,534387186.19,
G2800730_hot_humid.csv,1949,6,83702.79,,406.07,,5555.34,,17.35,,0.0,,173672574.67,
G2800730_hot_humid.csv,1958,1,54159.76,28559.62,167.59,207.09,16558.82,12139.2,38.27,34.41,0.0,0.0,157112641.98,103583756.35
G2800730_hot_humid.csv,1958,2,30288.58,24788.73,43.03,15.12,22397.27,7052.48,117.97,119.66,0.0,0.0,193874941.26,47426067.99
G2800730_hot_humid.csv,1958,3,51820.94,,49.63,,12067.75,,19.09,,0.0,,194886419.68,
G2800730_hot_humid.csv,1958,4,153642.14,,155.79,,6851.33,,47.01,,0.0,,653562388.74,
G2800730_hot_humid.csv,1958,6,85294.05,,488.27,,5388.4,,17.72,,0.0,,212403788.29,
G2800730_hot_humid.csv,1969,1,48536.09,39867.47,227.07,310.23,15320.63,15453.81,56.23,64.58,0.0,0.0,234446346.58,156534043.8
G2800730_hot_humid.csv,1969,2,29653.43,27113.89,42.18,19.73,20804.55,8128.08,180.32,194.38,0.0,0.0,289674087.12,71917707.51
G2800730_hot_humid.csv,1969,3,53484.51,,51.62,,12306.3,,19.86,,0.0,,291741593.68,
G2800730_hot_humid.csv,1969,4,96325.65,,99.61,,3027.26,,29.15,,0.0,,967640033.31,
G2800730_hot_humid.csv,1969,6,55156.86,,687.82,,2935.32,,11.5,,0.0,,314477106.26,
G2800730_hot_humid.csv,1979,1,28752.36,13058.61,92.4,116.89,8642.3,5641.85,20.73,19.32,0.0,0.0,108457770.07,93601699.24
G2800730_hot_humid.csv,1979,2,15278.9,12373.66,22.27,7.16,11629.87,3726.21,74.75,73.59,0.0,0.0,138001268.42,46142017.9
G2800730_hot_humid.csv,1979,3,26319.48,,25.41,,6054.36,,9.77,,0.0,,144977550.12,
G2800730_hot_humid.csv,1979,4,82363.59,,83.61,,3611.81,,25.23,,0.0,,365484664.35,
G2800730_hot_humid.csv,1979,6,46860.28,,272.64,,2947.3,,9.73,,0.0,,118780285.72,
G2800730_hot_humid.csv,1984,1,27617.18,14821.87,68.89,76.9,8452.18,6232.08,15.45,11.05,0.0,0.0,86465856.57,85685049.3
G2800730_hot_humid.csv,1984,2,15389.29,12653.0,21.97,7.92,11358.93,3597.28,55.84,50.7,0.0,0.0,112104558.05,43751913.17
G2800730_hot_humid.csv,1984,3,26649.33,,25.62,,6163.68,,9.86,,0.0,,120809531.4,
G2800730_hot_humid.csv,1984,4,71791.98,,72.4,,3472.68,,22.18,,0.0,,248476805.75,
G2800730_hot_humid.csv,1984,6,41003.04,,189.83,,2764.76,,8.49,,0.0,,80753445.66,
G2800730_hot_humid.csv,1995,1,16987.45,7176.35,115.26,174.23,5025.04,3079.61,27.26,37.26,0.0,0.0,140647780.88,108218165.7
G2800730_hot_humid.csv,1995,2,8421.19,7155.69,12.99,3.97,6704.88,2212.01,103.27,114.3,0.0,0.0,176477819.65,51713300.74
G2800730_hot_humid.csv,1995,3,15124.16,,14.82,,3403.97,,5.7,,0.0,,181784316.34,
G2800730_hot_humid.csv,1995,4,45196.64,,46.9,,1310.95,,13.72,,0.0,,525007000.86,
G2800730_hot_humid.csv,1995,6,27204.47,,371.84,,1425.58,,5.68,,0.0,,170624071.67,
G2800730_hot_humid.csv,2002,1,12887.07,5843.04,114.75,179.12,3828.29,2476.98,27.61,40.08,0.01,0.0,142897395.29,109025142.05
G2800730_hot_humid.csv,2002,2,6332.09,5603.34,9.95,3.23,5061.11,1654.89,105.79,119.15,0.0,0.0,179126331.24,51977582.26
G2800730_hot_humid.csv,2002,3,548351.87,758908.61,92.35,114.27,540479.96,760653.73,86.05,115.41,0.01,0.0,132103444.25,73753703.77
G2800730_hot_humid.csv,2002,4,29791.7,,31.33,,645.18,,9.02,,0.0,,536987074.83,
G2800730_hot_humid.csv,2002,6,18950.18,,375.91,,935.8,,3.95,,0.0,,174517522.61,
G2800730_hot_humid.csv,2009,1,12887.07,5843.04,114.75,179.12,3828.29,2476.98,27.61,40.08,0.01,0.0,142897395.29,109025142.05
G2800730_hot_humid.csv,2009,2,6332.09,5603.34,9.95,3.23,5061.11,1654.89,105.79,119.15,0.0,0.0,179126331.24,51977582.26
G2800730_hot_humid.csv,2009,3,548351.87,758908.61,92.35,114.27,540479.96,760653.73,86.05,115.41,0.01,0.0,132103444.25,73753703.77
G2800730_hot_humid.csv,2009,4,29791.7,,31.33,,645.18,,9.02,,0.0,,536987074.83,
G2800730_hot_humid.csv,2009,6,18950.18,,375.91,,935.8,,3.95,,0.0,,174517522.61,
G3500090_mixed_dry.csv,1918,1,88678.36,104095.36,94.78,145.68,29961.08,101300.57,33.12,41.51,0.0,0.0,175012104.38,113871606.62
G3500090_mixed_dry.csv,1918,2,384699.23,1356748.34,161.37,336.27,320751.6,1359754.35,181.76,460.78,0.0,0.0,190830158.37,106500170.07
G3500090_mixed_dry.csv,1918,3,264614.31,513134.18,135.51,150.92,215618.61,513004.75,64.37,103.84,0.0,0.0,111641016.16,52359633.94
G3500090_mixed_dry.csv,1918,4,542175.11,874778.69,164.46,206.65,455869.04,885268.9,205.08,333.32,0.0,0.0,233909453.7,304173962.26
G3500090_mixed_dry.csv,1918,5,53662.83,18291.26,31.12,12.91,3056.55,1808.3,13.31,6.26,0.0,0.0,134157041.07,70949128.62
G3500090_mixed_dry.csv,1918,6,15968.79,,16.06,,2604.78,,8.87,,0.0,,79139415.31,
